query,expected_intent,expected_product,ideal_response
"Hola, quiero saber los beneficios de la tarjeta de débito",BENEFITS,DEBIT_CARD,"¡Hola! Qué bueno que te interese nuestra Tarjeta de Débito. Sus principales beneficios son: no tiene cuota de manejo, te permite hacer hasta 5 retiros gratis al mes en nuestra red aliada y cuenta con seguridad avanzada de chip y notificaciones en tiempo real."
"¿Qué necesito para pedir un préstamo personal?",REQUIREMENTS,LOAN,"¡Hola! Para solicitar nuestro Préstamo Personal, los requisitos principales son: tener ingresos demostrables desde $1,500,000 COP, más de un año de antigüedad laboral y un buen historial de crédito. ¿Te gustaría iniciar tu solicitud?"
"¿Cuál es la tasa de interés de la tarjeta de crédito?",FEES_RATES,CREDIT_CARD,"¡Hola! La tasa de interés de nuestra Tarjeta de Crédito es del 2.1% efectiva mensual. Además, te contamos que puedes exonerar la cuota de manejo si facturas más de $800,000 COP en el mes."
"¿Cómo pido la tarjeta de crédito?",APPLICATION_PROCESS,CREDIT_CARD,"¡Hola! Solicitar tu Tarjeta de Crédito es muy fácil. Puedes hacerlo 100% en línea desde nuestra página web o app. La pre-aprobación toma solo 5 minutos. ¡Anímate a empezar!"
"No entiendo la diferencia entre la tarjeta de débito y la de crédito, ¿me explicas?",GENERAL,UNKNOWN,"¡Hola! Claro que sí. La Tarjeta de Débito usa el dinero que ya tienes en tu cuenta, es ideal para compras del día a día. La Tarjeta de Crédito te da un cupo de dinero prestado por el banco para que lo uses y lo pagues después, es útil para compras grandes o para financiarte."
"¿Qué me dan si pido un préstamo de 10 millones?",BENEFITS,LOAN,"¡Hola! Al solicitar un préstamo de $10,000,000 COP con nosotros, obtienes beneficios como desembolso en menos de 24 horas, plazos de pago flexibles de 12 a 48 meses y, para ese monto, no necesitas codeudor. ¿Quieres simular tu crédito?"
"¿Cuál es el mejor restaurante de la ciudad?",GENERAL,UNKNOWN,"¡Hola! Agradezco mucho tu pregunta. Como Álex, tu asistente financiero de ITTI, mi especialidad son nuestros productos como tarjetas y préstamos. No tengo información sobre restaurantes, pero si tienes alguna duda financiera, ¡estaré encantado de ayudarte!"
"Quiero un préstamo pero mi historial de crédito no es bueno, ¿puedo aplicar?",REQUIREMENTS,LOAN,"¡Hola! Entiendo tu situación. Uno de los requisitos para nuestros préstamos es tener un buen historial crediticio. Sin embargo, te invito a que completes la solicitud. Nuestro sistema analiza varios factores y podríamos encontrar una opción para ti. ¿Quieres intentarlo?"
"¿Cuánto cuesta la tarjeta de débito al año?",FEES_RATES,DEBIT_CARD,"¡Hola! Una de las mejores noticias sobre nuestra Tarjeta de Débito es que NO tiene costo anual ni cuota de manejo. Es completamente gratuita y solo necesitas mantener un depósito inicial de $20,000 COP. ¿Te gustaría conocer más beneficios?"
"Quiero tanto la tarjeta de crédito como el préstamo, ¿puedo tener ambos?",GENERAL,UNKNOWN,"¡Hola! ¡Por supuesto! Puedes acceder a múltiples productos ITTI si cumples con los requisitos de cada uno. La Tarjeta de Crédito y el Préstamo Personal son productos independientes y complementarios. ¿Te gustaría que te explique los requisitos de cada uno?"
"Me robaron la tarjeta, ¿qué hago?",GENERAL,UNKNOWN,"¡Hola! Lamento mucho que hayas pasado por esta situación. Por tu seguridad, te sugiero contactar inmediatamente a nuestro centro de atención al cliente al [número] para bloquear tu tarjeta. Como Álex, me especializo en consultas sobre productos, pero este caso requiere atención inmediata de nuestro equipo de seguridad."
"¿Puedo sacar un préstamo si soy estudiante?",REQUIREMENTS,LOAN,"¡Hola! Para nuestro Préstamo Personal necesitas tener ingresos demostrables desde $1,500,000 COP mensuales. Si eres estudiante y tienes estos ingresos (trabajo de medio tiempo, freelance, etc.), ¡podrías aplicar! También necesitas más de un año de historial laboral. ¿Te gustaría simular tu préstamo?"
"¿Qué pasa si no pago la tarjeta de crédito a tiempo?",FEES_RATES,CREDIT_CARD,"¡Hola! Es importante pagar a tiempo para mantener un buen historial crediticio. Si hay retraso en el pago, se generan intereses de mora y puede afectar tu calificación crediticia. Te recomiendo configurar débito automático o recordatorios para evitar este tipo de situaciones. ¿Te gustaría saber sobre nuestras opciones de pago?"
"Buenos días, me interesa la tarjeta dorada premium",GENERAL,UNKNOWN,"¡Buenos días! Gracias por tu interés en ITTI. Actualmente ofrecemos Tarjeta de Débito y Tarjeta de Crédito, ambas con excelentes beneficios. No tenemos una tarjeta dorada premium específica, pero te puedo explicar las ventajas de nuestros productos disponibles. ¿Cuál te gustaría conocer?"
"Ayúdame a hacer la tarea de matemáticas",GENERAL,UNKNOWN,"¡Hola! Me encantaría ayudarte, pero como Álex, tu asistente financiero de ITTI, me especializo únicamente en nuestros productos financieros como tarjetas y préstamos. Para tu tarea de matemáticas, te sugiero consultar con un tutor o recursos educativos. ¿Tienes alguna pregunta sobre finanzas que pueda ayudarte?"
